Match,Client,Category,Source,Address,Suburb,Postcode,Contact Name,Contact Phone,Contact Email,Outage Suburb,Outage Street,Start,End,Duration (hrs),Status,Distance (m),Client Total Hours,Client Longest Outage (hrs),Min Hours Threshold,Generator Opportunity,Notes
Possible,McDonald's Heidelberg Heights,McDonald's,osm,120 Bell Street,HEIDELBERG HEIGHTS,3081,,,,Heidelberg Heights,Alfred Street,"Mon 11 May, 7:30 AM",5:30 PM,10.0,Scheduled,76,10.0,10.0,6.0,Yes,
Possible,Woolworths Pakenham Central Marketplace,Woolworths,osm,John Street,PAKENHAM,3810,,,,,Outage zone (Ausnet),"Sun 24 May, 9:00 AM",4:00 PM,7.0,Scheduled,58,7.0,7.0,6.0,Yes,
Possible,KFC,KFC,osm,Princes Street,TRARALGON,3844,,,,,Outage zone (Ausnet),"Sun 24 May, 8:30 AM",3:30 PM,7.0,Scheduled,3,7.0,7.0,6.0,Yes,
Definite,Ampol,Ampol,osm,Bass Highway,,3991,,,,,Outage zone (Ausnet),"Sun 17 May, 4:00 AM",11:00 PM,19.0,Scheduled,,19.0,19.0,6.0,Yes,
Possible,Target Showgrounds Village,Target,osm,Epsom Road,FLEMINGTON,3031,,,,Ascot Vale,Epsom Road,"Thu 7 May, 8:00 AM",4:00 PM,8.0,Cancelled,39,0.0,0.0,6.0,No,
Possible,IGA Reservoir,IGA,osm,66-68 Gertz Avenue,RESERVOIR,3073,,,,Reservoir,Pedersen Avenue,"Tue 12 May, 7:30 AM",4:00 PM,8.5,Scheduled,20,8.5,8.5,6.0,Yes,
Possible,Local Grocer IGA Spotswood,IGA,osm,Hudsons Road,SPOTSWOOD,3015,,,,Spotswood,Hudsons Road,"Thu 7 May, 8:00 PM",4:30 AM,8.5,Scheduled,8,17.0,8.5,6.0,Yes,
Possible,Local Grocer IGA Spotswood,IGA,osm,Hudsons Road,SPOTSWOOD,3015,,,,Spotswood,Hall Street,"Thu 7 May, 8:00 PM",4:30 AM,8.5,Scheduled,45,17.0,8.5,6.0,Yes,
Definite,Shell,Shell,osm,High Street,WALLAN,3756,,,,,Outage zone (Ausnet),"Tue 19 May, 8:30 AM",4:00 PM,7.5,Scheduled,,7.5,7.5,6.0,Yes,
Definite,BP,BP,osm,High Street,WALLAN,3756,,,,,Outage zone (Ausnet),"Tue 19 May, 8:30 AM",4:00 PM,7.5,Scheduled,,7.5,7.5,6.0,Yes,
Possible,Domino's Maidstone,Domino's,osm,13 Wests Road,MARIBYRNONG,3032,,,,Maidstone,Hampstead Road,"Mon 11 May, 8:30 PM",1:30 AM,5.0,Cancelled,53,0.0,0.0,6.0,No,
Possible,Subway Ascot Vale,Subway,osm,Epsom Road,ASCOT VALE,3032,,,,Ascot Vale,Epsom Road,"Thu 7 May, 8:00 AM",4:00 PM,8.0,Cancelled,30,0.0,0.0,6.0,No,
Definite,KFC Kilmore,KFC,osm,91 Sydney Street,KILMORE,3764,,,,,Outage zone (Ausnet),"Sat 16 May, 6:00 AM",6:00 PM,12.0,Scheduled,,12.0,12.0,6.0,Yes,
